run,event,pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
279760,811562701,38.4441,2.73828,-1.99683,41.6492,1.45508,-1.50317,46.1691,0.646973,29.1568,51.8863
280191,1053126528,26.6171,2.23535,-1.14624,36.6733,2.15869,-1.12354,47.3559,2.64355,11.6472,2.49739
279766,599476715,22.1734,-1.01538,-0.128052,40.256,2.18457,-0.22229,105.568,2.0874,3.67807,59.7943
279766,927285207,23.8405,-3.01953,-2.16064,33.7731,0.429443,-1.62695,56.1664,0.974854,0.239376,58.1379
279887,407905177,20.635,-1.36084,-0.322693,61.9242,1.19775,-1.55054,275.763,-0.835938,0.50275,82.8856
279931,101244489,34.2314,0.856079,-0.469177,57.3054,-2.69629,0.205627,64.6322,0.321777,19.3627,91.9123
279975,572406616,21.205,1.13159,-0.161224,29.1227,-0.92688,0.0347366,35.9102,2.17529,22.1673,42.8674
279760,782918956,21.2852,1.33569,0.00555992,31.1054,1.32715,0.00380898,43.4187,-1.06226,43.6179,0.224437
280385,3238489617,35.5666,1.75342,0.0830078,48.3647,-1.3894,-0.750732,77.8396,1.71729,0.622722,90.2623
279667,563049071,28.1985,-1.80103,0.926392,43.4121,-0.763428,-0.307922,49.3464,-0.85022,0.152131,57.6024
279694,2309068752,40.6994,-0.053894,1.20972,43.9299,-0.226746,-1.18286,36.2231,-1.37012,31.6948,127.294
278822,554869740,23.057,-3.05078,-1.68018,35.0728,-0.298035,-0.780273,80.2734,2.74316,16.1543,61.7596
279975,1338993284,31.2573,2.62061,0.0429306,53.8278,-0.237213,-0.775879,45.9504,-2.73096,19.143,88.2494
280363,103577253,42.1311,0.306519,-1.82324,84.3561,2.83691,1.13501,70.5915,0.42041,0.180983,272.894
279715,449969734,25.467,-1.39673,-0.00941467,28.876,1.55981,-1.96631,35.5032,1.95581,7.39798,82.1835
279931,461668726,26.5175,-0.852783,0.182343,36.1848,2.68311,2.05176,66.8016,-0.45752,13.3249,90.2323
279975,169542710,27.6464,-3.03418,-0.236572,29.0701,0.248779,-2.10791,42.724,-1.48877,13.053,83.2861
279654,1874863661,74.7463,-1.38916,0.198334,82.0145,0.804565,-1.83057,40.2084,1.14819,17.5684,233.633
279966,434342934,25.1168,-2.43066,0.0510483,26.6869,-2.12842,-1.23828,89.1564,0.761108,67.4612,36.5816
279975,221651626,38.058,2.375,-2.354,46.1641,-0.845825,-1.65601,55.3278,1.69067,10.491,88.9265
280015,819627381,67.4622,2.42627,1.24365,69.037,-3.09424,0.671875,131.398,0.241058,122.905,64.3807
280191,1632906927,120.619,-2.271,2.01318,24.0619,-2.15039,1.4707,57.6639,3.08984,33.1479,30.2891
279841,583435214,28.4932,-0.057312,-0.842651,51.4091,-2.73877,-0.0416565,35.6315,-2.63135,0.143212,80.9053
280249,2235188242,37.8319,0.171875,-1.32861,41.3271,-2.60254,-0.233765,79.0407,-2.83398,11.04,90.0805
280249,1664040280,25.053,0.976196,-1.03638,29.5085,0.604492,0.110657,55.6933,-1.86157,52.8844,34.4247
279694,133455721,38.6956,1.5542,-1.07764,48.4594,-2.08691,-0.498413,41.8468,1.63281,0.157834,87.6888
280242,593182581,21.829,-0.743774,-1.44019,36.3472,-2.32764,0.23642,47.288,1.95557,42.2281,66.4216
280349,928400500,26.7126,-1.84497,0.82373,40.3292,1.80396,-0.875366,67.9538,0.344116,32.3476,89.2856
280363,549028647,28.3237,-1.58423,-0.506592,45.2917,-1.56055,-0.503296,38.6987,1.18286,50.9831,0.856351
278820,1815620513,49.5287,-0.122299,-0.859985,67.3317,-3.08008,-0.850342,100.522,-0.0497437,4.73307,115.01
278975,252838563,34.7243,1.75586,-0.968262,36.5676,-1.64502,0.173096,102.126,0.535522,28.8924,82.6798
280385,3548522300,25.6483,-1.62036,-0.678345,40.6986,1.33252,-2.11182,70.9123,1.26367,0.193378,81.711
278822,1597528072,36.1588,-2.85059,0.990723,51.0189,1.14771,0.419922,47.4528,0.854492,12.6512,81.9972
278969,1437961994,22.7673,1.94727,-0.473022,39.2818,-0.172485,0.398315,70.1587,-2.625,42.9456,58.6947
279654,763460035,51.8201,-1.14966,0.219116,40.046,1.35376,1.87817,41.146,-0.0426636,0.168394,120.964
279667,1348521146,26.4463,2.25977,-0.745972,42.4003,-1.13916,-0.543213,50.8327,-0.320496,16.7553,66.7664
279794,1422360309,53.4155,0.112198,-1.3457,65.9661,-2.16992,-1.24243,52.1987,3.12451,39.1541,108.1
279931,2201587213,40.0192,1.73682,0.270264,72.9863,-0.751221,-2.16553,293.328,-1.49316,69.3136,195.612
279931,2224263738,81.9074,1.55444,0.146423,63.2145,-1.65796,0.494873,41.1417,-0.357422,14.1064,146.014
279931,3706522844,20.7752,1.13721,0.188293,46.9374,1.14429,0.208374,43.4732,1.54712,10.1315,0.664904
279766,167835994,22.6914,-0.804565,0.0466766,33.0366,-0.0639343,1.5896,39.4998,-2.97314,41.8608,50.6036
279694,1733354004,20.0459,-1.55005,-0.359436,30.7266,1.57837,-0.15387,59.7474,-0.612061,1.2958,49.8977
280249,443858125,24.0409,2.44336,1.0542,26.8051,0.666504,-0.28772,38.5833,0.148773,14.4608,53.8322
279715,37033317,27.08,-2.82422,-0.234894,28.1515,2.2085,-1.87378,57.6475,1.80151,14.8461,59.9465
278969,1940512400,26.1961,0.0139198,1.31714,43.3871,1.04395,0.155975,35.1895,-1.54297,35.8965,53.0612
280249,2410846251,20.5537,-3.00928,0.951172,25.2915,1.50708,1.90356,47.1803,0.495911,26.0108,41.8381
280385,716535625,31.8692,2.60254,-0.928223,46.6871,0.00243473,-1.32666,58.2163,-1.79199,34.4913,75.9287
278969,1756430367,32.8383,2.86279,-0.0818024,44.683,-0.0439148,-1.22534,42.0556,2.5874,0.202397,89.0275
278986,211856768,21.9554,1.21606,0.764648,29.8383,1.24097,0.750732,42.594,2.52686,28.0939,0.730136
279685,192053991,85.0876,-2.5918,-0.274841,87.4523,1.85083,0.674072,46.1005,1.53735,18.3355,161.452
279715,102007864,22.127,0.928223,-0.360291,40.5624,-2.47656,-0.62439,41.5135,-2.46387,0.530798,59.927
279715,108907302,32.5426,-1.42236,1.36523,58.7971,-0.912109,-0.321045,165.807,1.62256,114.841,85.71
279716,2738349207,24.8009,-0.631592,-1.26904,67.1786,2.85791,-0.506714,72.5201,-2.78418,0.260903,86.4915
279766,2325022275,21.5148,2.51025,-0.485352,114.87,-0.335327,-1.4209,50.6796,2.49463,0.196871,109.527
278923,318950412,34.4918,-1.44678,0.242462,54.0264,1.60571,0.73645,67.9996,2.47803,13.8293,88.8997
278969,715081231,26.0724,-2.57422,-1.979,29.495,-1.68433,-2.33594,40.5857,1.3501,44.187,25.8622
280330,1050623390,36.9034,1.41064,0.453796,40.8231,-1.28882,1.50684,43.2989,0.475952,0.202768,86.9889
280364,1270837907,60.3564,1.99048,-0.52356,70.7434,2.9082,-0.904785,78.7573,1.86426,8.43305,63.0778
278969,724685503,39.6235,1.14355,0.466248,42.1882,-0.529785,0.248199,44.7628,-0.201782,0.15085,61.3622
280242,1005839304,35.6816,-1.01538,0.6604,51.6863,2.25781,0.334717,39.4414,-0.578979,8.90807,86.8473
280364,1889614247,22.5438,-1.55103,0.140808,31.9061,3.09131,0.843018,47.6639,-2.00049,0.181916,43.6894
278820,182723281,32.7692,-1.88867,0.514526,39.2523,1.2981,-0.580688,53.7903,-1.26367,7.03139,82.7395
279667,428552549,30.5739,-1.26367,-0.47644,38.0239,1.99146,1.34961,38.9604,0.713257,11.8954,98.5692
279766,2755921271,35.9934,-2.62158,-0.295898,39.3881,0.647583,-1.62891,63.6466,1.34155,0.338405,92.5353
279794,131993475,27.4186,0.902954,0.0159569,40.004,-2.0918,-0.297852,46.9363,-0.159698,0.363038,66.8784
279844,297887378,35.4533,-2.33105,1.49072,46.4107,0.524048,-0.464783,88.7072,0.868896,15.2936,122.55
280385,1147666574,27.6882,-1.81714,1.44458,31.5464,-0.37854,0.340393,42.4189,-3.12891,33.6101,51.9067
280385,1180315181,28.6641,-2.91699,0.583374,41.5346,-2.94141,0.641602,60.8587,-2.22461,22.0916,2.17881
279841,2782518374,21.5291,1.31836,-0.678955,86.1739,1.34277,0.338196,174.951,-1.97461,109.456,45.7366
279931,647687258,33.2256,-0.176605,0.991821,54.2008,-2.40283,-1.12231,40.5175,0.848877,28.8374,131.636
279975,812587416,26.9034,-2.51855,0.257141,38.7975,2.26514,-0.820923,56.8329,1.65894,23.6369,57.2197
280191,332063485,35.6797,1.7832,-0.553711,41.8214,1.7876,-0.548584,51.9072,-1.94922,60.4691,0.260844
280385,3178851629,34.93,-1.03882,-0.528809,42.7123,2.60547,0.347351,47.0412,-1.90161,0.204013,82.5777
280330,1002180554,22.2233,-3.07178,0.0606842,28.112,0.163025,-2.27344,53.6542,1.0564,0.482271,88.0464
279715,669557839,52.0381,-1.17163,-0.263428,73.1239,-2.94287,-0.359863,57.7953,-0.568726,29.4031,95.7139
279767,498623756,28.5969,2.39014,-0.176208,30.3612,1.79932,-1.5376,96.9004,-0.786377,73.2582,46.5611
280007,1323898,50.6958,-2.08203,0.561768,61.9944,-1.87061,1.21802,37.2042,0.738281,62.8412,39.278
